(~I ==> ~B) . What is ~B ?	(~I ==> ~B) . What is ~B ?	(~I ==> ~B)	Unknown HELP!
(J | ~I) & ~F & (G ==> A) & (~I | D) & ~J & ~J & ~F & (~I | D) & ~J & (J | ~I) . What is ~J ?	(J | ~I) & ~F & (G ==> A) & (~I | D) & ~J . What is ~J ?	(J | ~I) & ~F & (G ==> A) & (~I | D) & ~J	True
I & I & I . What is ~I ?	I . What is ~I ?	I	False
E . What is ~E ?	E . What is ~E ?	E	False
(J ^ ~F) & (J ^ ~F) & (~D ==> H) & J & (~D ==> H) & J & J & (H ^ J) & (H ^ J) & (H ^ J) . What is H ?	(J ^ ~F) & (~D ==> H) & J & (H ^ J) . What is H ?	(J ^ ~F) & (~D ==> H) & J & (H ^ J)	False
~C & ~C . What is ~C ?	~C . What is ~C ?	~C	True
G & G & G & (D & ~J) . What is D ?	G & (D & ~J) . What is D ?	G & (D & ~J)	True
(~H <=> I) & (C & ~A) & ~F & (~A ^ ~H) & (E | F) & (~A ^ ~H) & (~H <=> I) & (E | F) & (E | F) . What is A ?	(~H <=> I) & (C & ~A) & ~F & (~A ^ ~H) & (E | F) . What is A ?	(~H <=> I) & (C & ~A) & ~F & (~A ^ ~H) & (E | F)	False
(~H & D) & (D & ~C) & (~H & D) & (~H & D) & (~C & A) & (D & ~C) & (D & ~C) . What is D ?	(~H & D) & (D & ~C) & (~C & A) . What is D ?	(~H & D) & (D & ~C) & (~C & A)	True
~H & G & ~H & (C <=> ~G) & (H <=> B) & G & G & (~A <=> H) & (C <=> ~G) & (C <=> ~G) & (H <=> B) . What is ~B ?	~H & G & (C <=> ~G) & (H <=> B) & (~A <=> H) . What is ~B ?	~H & G & (C <=> ~G) & (H <=> B) & (~A <=> H)	True
(A & J) & (A & J) & C & (G <=> A) & (G <=> A) . What is ~G ?	(A & J) & C & (G <=> A) . What is ~G ?	(A & J) & C & (G <=> A)	False
(I & ~B) & (F <=> H) & (F <=> H) & (F <=> H) & ~H & (~B & ~E) & (~B & ~E) & ~H & ~H . What is ~B ?	(I & ~B) & (F <=> H) & ~H & (~B & ~E) . What is ~B ?	(I & ~B) & (F <=> H) & ~H & (~B & ~E)	True
J & (B ^ ~C) & (~F & B) & (B ^ ~C) & (~F & B) & (I ^ ~A) . What is C ?	J & (B ^ ~C) & (~F & B) & (I ^ ~A) . What is C ?	J & (B ^ ~C) & (~F & B) & (I ^ ~A)	True
~C & (~C ==> ~I) & ~C . What is ~I ?	~C & (~C ==> ~I) . What is ~I ?	~C & (~C ==> ~I)	True
(H & G) & (F & ~I) & (F & ~I) & E & G & (D ==> E) & (~I ^ D) & E & (D ==> E) & E & G & G . What is F ?	(H & G) & (F & ~I) & E & G & (D ==> E) & (~I ^ D) . What is F ?	(H & G) & (F & ~I) & E & G & (D ==> E) & (~I ^ D)	True
(D & B) & G & G & G . What is ~D ?	(D & B) & G . What is ~D ?	(D & B) & G	False
~E & (~I <=> ~B) & ~E & (E | D) & G & (E | D) & (E | D) . What is G ?	~E & (~I <=> ~B) & (E | D) & G . What is G ?	~E & (~I <=> ~B) & (E | D) & G	True
(H & B) & (A | ~F) & (~I | E) & (B <=> ~I) & ~A & (B <=> ~I) & (~I | E) & (B <=> ~I) . What is ~H ?	(H & B) & (A | ~F) & (~I | E) & (B <=> ~I) & ~A . What is ~H ?	(H & B) & (A | ~F) & (~I | E) & (B <=> ~I) & ~A	False
H & (F <=> ~E) & (B & I) . What is ~I ?	H & (F <=> ~E) & (B & I) . What is ~I ?	H & (F <=> ~E) & (B & I)	False
(F | D) & (B <=> F) & (~G ==> ~A) & G & F & (D ==> ~J) & G & (F | D) & (B <=> F) & (D ==> ~J) & (D ==> ~J) & (~G ==> ~A) & (~G ==> ~A) . What is ~B ?	(F | D) & (B <=> F) & (~G ==> ~A) & G & F & (D ==> ~J) . What is ~B ?	(F | D) & (B <=> F) & (~G ==> ~A) & G & F & (D ==> ~J)	False
~F & (J & ~H) & (F & J) & (~D & ~C) & C & (F & J) & (J & ~H) & (J & ~H) & C & (~H <=> ~E) & (~H <=> ~E) & ~F & ~F . What is ~J ?	~F & (J & ~H) & (F & J) & (~D & ~C) & C & (~H <=> ~E) . What is ~J ?	~F & (J & ~H) & (F & J) & (~D & ~C) & C & (~H <=> ~E)	Contradictory
(A <=> H) & ~I & ~I & ~I . What is ~I ?	(A <=> H) & ~I . What is ~I ?	(A <=> H) & ~I	True
(F <=> E) & (F <=> E) & E & (F <=> E) . What is ~E ?	(F <=> E) & E . What is ~E ?	(F <=> E) & E	False
J & (~C ==> G) & (H <=> ~J) & (H <=> ~J) & (~C ==> G) & ~C & (~C ==> G) & ~C & (~J <=> A) & (~J <=> A) & ~C & (~J <=> A) . What is ~J ?	J & (~C ==> G) & (H <=> ~J) & ~C & (~J <=> A) . What is ~J ?	J & (~C ==> G) & (H <=> ~J) & ~C & (~J <=> A)	False
(~E & ~B) & ~D & (~G | ~D) & (~G | ~D) & (~F ^ ~E) & ~D & (~E & ~B) & ~D & (~G | ~D) . What is B ?	(~E & ~B) & ~D & (~G | ~D) & (~F ^ ~E) . What is B ?	(~E & ~B) & ~D & (~G | ~D) & (~F ^ ~E)	False
(F ^ ~A) & (F ^ ~A) & (~D & I) & (I <=> ~C) & (F ^ ~A) & (I <=> ~C) & (~D & I) & (I <=> ~C) & (~D & I) & ~G & ~G . What is ~D ?	(F ^ ~A) & (~D & I) & (I <=> ~C) & ~G . What is ~D ?	(F ^ ~A) & (~D & I) & (I <=> ~C) & ~G	True
(B | C) & E & (B | C) . What is E ?	(B | C) & E . What is E ?	(B | C) & E	True
~H & ~H & ~H . What is ~H ?	~H . What is ~H ?	~H	True
(~J ==> ~A) & (~F | G) & C & (~J ==> ~A) & (~F | G) & (~E | H) & (~F | G) & ~D & (H | ~F) & (~E | H) & (~E | H) & ~D & ~D . What is ~C ?	(~J ==> ~A) & (~F | G) & C & (~E | H) & ~D & (H | ~F) . What is ~C ?	(~J ==> ~A) & (~F | G) & C & (~E | H) & ~D & (H | ~F)	False
~F & ~F & ~F . What is ~F ?	~F . What is ~F ?	~F	True
(G <=> H) & ~G & ~G . What is F ?	(G <=> H) & ~G . What is F ?	(G <=> H) & ~G	Unknown HELP!
 . What is J ?	 . What is J ?		Unknown HELP!
J & J & J . What is ~J ?	J . What is ~J ?	J	False
~H & (H <=> F) & (~C & A) & ~H & (H <=> F) & (H <=> F) . What is C ?	~H & (H <=> F) & (~C & A) . What is C ?	~H & (H <=> F) & (~C & A)	False
(~D ==> ~F) & (~E <=> ~D) & ~E & (~D ==> ~F) & (~D ==> ~F) & ~E . What is F ?	(~D ==> ~F) & (~E <=> ~D) & ~E . What is F ?	(~D ==> ~F) & (~E <=> ~D) & ~E	False
~B & ~B & (B | ~H) & (B | ~H) . What is H ?	~B & (B | ~H) . What is H ?	~B & (B | ~H)	False
~E & ~G & (~I ==> H) & (~B & ~J) & ~E & ~G & (~F & ~I) & (E ==> ~F) & ~G & (~I ==> H) & (E ==> ~F) & (E ==> ~F) . What is ~I ?	~E & ~G & (~I ==> H) & (~B & ~J) & (~F & ~I) & (E ==> ~F) . What is ~I ?	~E & ~G & (~I ==> H) & (~B & ~J) & (~F & ~I) & (E ==> ~F)	True
~B & ~B & (B ==> ~H) . What is ~B ?	~B & (B ==> ~H) . What is ~B ?	~B & (B ==> ~H)	True
I & (F & ~B) & (I ==> D) . What is ~H ?	I & (F & ~B) & (I ==> D) . What is ~H ?	I & (F & ~B) & (I ==> D)	Unknown HELP!
~G & (~H & G) & ~G & (G | ~E) & (~H & G) & (A ==> ~H) & (~H & G) . What is ~H ?	~G & (~H & G) & (G | ~E) & (A ==> ~H) . What is ~H ?	~G & (~H & G) & (G | ~E) & (A ==> ~H)	Contradictory
(C ^ ~D) & ~C & ~C & ~C . What is D ?	(C ^ ~D) & ~C . What is D ?	(C ^ ~D) & ~C	False
B . What is ~B ?	B . What is ~B ?	B	False
C & C & C . What is ~C ?	C . What is ~C ?	C	False
(B & I) & (G ^ ~H) & (B & I) & (~H ^ B) & ~G . What is G ?	(B & I) & (G ^ ~H) & (~H ^ B) & ~G . What is G ?	(B & I) & (G ^ ~H) & (~H ^ B) & ~G	Contradictory
~G & (~F & A) & (A & ~D) & (A & ~D) & (~D & J) & (C ==> G) & (C ==> G) & ~G & (~D & J) & (~D & J) . What is J ?	~G & (~F & A) & (A & ~D) & (~D & J) & (C ==> G) . What is J ?	~G & (~F & A) & (A & ~D) & (~D & J) & (C ==> G)	True
I . What is ~I ?	I . What is ~I ?	I	False
J & J & J . What is J ?	J . What is J ?	J	True
B . What is C ?	B . What is C ?	B	Unknown HELP!
~J & (~H & J) & (~E | I) & (~E | I) . What is ~A ?	~J & (~H & J) & (~E | I) . What is ~A ?	~J & (~H & J) & (~E | I)	Contradictory
~E . What is ~E ?	~E . What is ~E ?	~E	True
~E . What is ~E ?	~E . What is ~E ?	~E	True
A . What is A ?	A . What is A ?	A	True
(~F & ~J) & F & F & F . What is F ?	(~F & ~J) & F . What is F ?	(~F & ~J) & F	Contradictory
~C & ~C & ~C . What is ~C ?	~C . What is ~C ?	~C	True
E . What is ~I ?	E . What is ~I ?	E	Unknown HELP!
(G & F) & (H <=> G) & F & F . What is ~G ?	(G & F) & (H <=> G) & F . What is ~G ?	(G & F) & (H <=> G) & F	False
(~A <=> ~D) & (I & ~A) & (I & ~A) & (I & ~A) . What is ~D ?	(~A <=> ~D) & (I & ~A) . What is ~D ?	(~A <=> ~D) & (I & ~A)	True
(H ^ ~F) & ~F & (A & ~G) & (~B <=> A) & (~B <=> A) & (~B <=> A) . What is G ?	(H ^ ~F) & ~F & (A & ~G) & (~B <=> A) . What is G ?	(H ^ ~F) & ~F & (A & ~G) & (~B <=> A)	False
F & (B | ~F) & (B | ~F) & (B | ~F) & (~F | ~E) & (~F | ~E) & (~F | ~E) . What is ~E ?	F & (B | ~F) & (~F | ~E) . What is ~E ?	F & (B | ~F) & (~F | ~E)	True
~A & (A & H) . What is ~E ?	~A & (A & H) . What is ~E ?	~A & (A & H)	Contradictory
(D ==> ~H) & F & (D ==> ~H) & (~G & D) & (D ==> ~H) & (~B ==> E) & ~B & (~B ==> E) & (~B ==> E) . What is ~G ?	(D ==> ~H) & F & (~G & D) & (~B ==> E) & ~B . What is ~G ?	(D ==> ~H) & F & (~G & D) & (~B ==> E) & ~B	True
(~A ==> ~C) & (~C & ~E) & (~A ==> ~C) & (~A ==> ~C) & (~E ==> H) & (~E ==> H) & (~C & ~E) . What is ~E ?	(~A ==> ~C) & (~C & ~E) & (~E ==> H) . What is ~E ?	(~A ==> ~C) & (~C & ~E) & (~E ==> H)	True
(~D & ~F) & (~E | ~D) . What is ~D ?	(~D & ~F) & (~E | ~D) . What is ~D ?	(~D & ~F) & (~E | ~D)	True
C . What is B ?	C . What is B ?	C	Unknown HELP!
(~D & C) & (~H & B) & (~H & B) & G & ~B & G & ~B & (~D & C) & (~D & C) & G . What is D ?	(~D & C) & (~H & B) & G & ~B . What is D ?	(~D & C) & (~H & B) & G & ~B	Contradictory
C & (~F ^ C) & (I & E) & (D ^ I) & (D ^ I) & (I & E) & E & C & (~F ^ C) & E & C & E & (~F ^ C) . What is ~I ?	C & (~F ^ C) & (I & E) & (D ^ I) & E . What is ~I ?	C & (~F ^ C) & (I & E) & (D ^ I) & E	False
(~H & ~I) & (D | ~H) & F & (D | ~H) & (~I | F) . What is I ?	(~H & ~I) & (D | ~H) & F & (~I | F) . What is I ?	(~H & ~I) & (D | ~H) & F & (~I | F)	False
D & D . What is D ?	D . What is D ?	D	True
 . What is D ?	 . What is D ?		Unknown HELP!
(B | ~E) & (B | ~E) & (B | ~E) . What is ~E ?	(B | ~E) . What is ~E ?	(B | ~E)	Unknown HELP!
(~J <=> D) & (D <=> A) & B . What is B ?	(~J <=> D) & (D <=> A) & B . What is B ?	(~J <=> D) & (D <=> A) & B	True
(~G ==> D) & ~G & ~G & ~J & (~G ==> D) & (I <=> B) & (I <=> B) & ~G & ~J & ~J & (~G ==> D) . What is ~J ?	(~G ==> D) & ~G & ~J & (I <=> B) . What is ~J ?	(~G ==> D) & ~G & ~J & (I <=> B)	True
(G ==> ~B) & (~B & H) . What is ~H ?	(G ==> ~B) & (~B & H) . What is ~H ?	(G ==> ~B) & (~B & H)	False
B & (F <=> B) & B & B . What is ~B ?	B & (F <=> B) . What is ~B ?	B & (F <=> B)	False
~E & ~E & ~E . What is E ?	~E . What is E ?	~E	False
(I | J) & E & ~F & ~F & (I | J) & E & E & (I | J) & ~F & (~H & F) & (~H & F) & (~H & F) . What is J ?	(I | J) & E & ~F & (~H & F) . What is J ?	(I | J) & E & ~F & (~H & F)	Contradictory
H & H & (~G ^ ~D) & (H ^ ~C) & (~D & ~F) & (H ^ ~C) & G & (~D & ~F) & H & (~G ^ ~D) & (~G ^ ~D) . What is G ?	H & (~G ^ ~D) & (H ^ ~C) & (~D & ~F) & G . What is G ?	H & (~G ^ ~D) & (H ^ ~C) & (~D & ~F) & G	True
~I . What is ~I ?	~I . What is ~I ?	~I	True
E & E & (C & ~I) & E . What is E ?	E & (C & ~I) . What is E ?	E & (C & ~I)	True
(A | H) & (~J ==> ~I) & (~I ==> A) & (~J ==> ~I) & H & H & (~I ==> A) & ~G & (B ==> F) & H & (A | H) & ~G & ~G . What is ~H ?	(A | H) & (~J ==> ~I) & (~I ==> A) & H & ~G & (B ==> F) . What is ~H ?	(A | H) & (~J ==> ~I) & (~I ==> A) & H & ~G & (B ==> F)	False
(~B & H) & (A & F) & (~C | ~G) & C & (H | A) & (H | A) & (A & F) & (H | A) & (A & F) . What is ~A ?	(~B & H) & (A & F) & (~C | ~G) & C & (H | A) . What is ~A ?	(~B & H) & (A & F) & (~C | ~G) & C & (H | A)	False
(A ^ ~C) & (B & A) & (~C <=> H) & (A ^ ~C) & (B & A) & (B & A) . What is B ?	(A ^ ~C) & (B & A) & (~C <=> H) . What is B ?	(A ^ ~C) & (B & A) & (~C <=> H)	True
(~G & ~J) & A & (~H ^ B) & ~H & (~H ^ B) & ~H & (~J | F) & (~J | F) . What is J ?	(~G & ~J) & A & (~H ^ B) & ~H & (~J | F) . What is J ?	(~G & ~J) & A & (~H ^ B) & ~H & (~J | F)	False
~J & (F | E) & (~C & F) & (~C & F) & ~J & (~D & ~I) & ~J & (F | E) & (~C & F) & (F | E) & F . What is F ?	~J & (F | E) & (~C & F) & (~D & ~I) & F . What is F ?	~J & (F | E) & (~C & F) & (~D & ~I) & F	True
(~C <=> ~H) & ~C & (~H ^ ~I) . What is ~H ?	(~C <=> ~H) & ~C & (~H ^ ~I) . What is ~H ?	(~C <=> ~H) & ~C & (~H ^ ~I)	True
A & A . What is ~A ?	A . What is ~A ?	A	False
(~F & ~D) & (~F & ~D) & (~C ^ ~F) . What is ~C ?	(~F & ~D) & (~C ^ ~F) . What is ~C ?	(~F & ~D) & (~C ^ ~F)	False
(~F | G) & (H | ~B) & (~F | G) & ~C & (H | ~B) & A & (H | ~B) & A . What is ~C ?	(~F | G) & (H | ~B) & ~C & A . What is ~C ?	(~F | G) & (H | ~B) & ~C & A	True
~C & (~B ==> D) & ~D & (C <=> ~F) & (C <=> ~F) & (C <=> ~F) & ~D & ~D . What is ~A ?	~C & (~B ==> D) & ~D & (C <=> ~F) . What is ~A ?	~C & (~B ==> D) & ~D & (C <=> ~F)	Unknown HELP!
(~B ^ C) & (G <=> A) & ~C & A & (G <=> A) & ~C & A & A . What is ~B ?	(~B ^ C) & (G <=> A) & ~C & A . What is ~B ?	(~B ^ C) & (G <=> A) & ~C & A	True
H . What is H ?	H . What is H ?	H	True
D & D . What is ~D ?	D . What is ~D ?	D	False
~J & ~J . What is J ?	~J . What is J ?	~J	False
H . What is H ?	H . What is H ?	H	True
(~J & E) & (B | ~J) & (~J & E) & (E & H) & (B | ~J) & (B | ~J) . What is ~B ?	(~J & E) & (B | ~J) & (E & H) . What is ~B ?	(~J & E) & (B | ~J) & (E & H)	Unknown HELP!
(~F & ~D) & (~F & ~D) & (~D | G) & ~J & (~F & ~D) & ~J & (~E & ~B) & (~E & ~B) . What is F ?	(~F & ~D) & (~D | G) & ~J & (~E & ~B) . What is F ?	(~F & ~D) & (~D | G) & ~J & (~E & ~B)	False
~H & (J & ~B) & (~H ==> ~D) & (~B ==> ~H) & ~H . What is H ?	~H & (J & ~B) & (~H ==> ~D) & (~B ==> ~H) . What is H ?	~H & (J & ~B) & (~H ==> ~D) & (~B ==> ~H)	False
~D & ~D & (A <=> F) & (I ==> ~E) & (A <=> F) & (I ==> ~E) & (F & I) & (F & I) & (A <=> F) . What is D ?	~D & (A <=> F) & (I ==> ~E) & (F & I) . What is D ?	~D & (A <=> F) & (I ==> ~E) & (F & I)	False
B . What is ~B ?	B . What is ~B ?	B	False
(~E <=> J) & (C & ~G) & (J ^ C) & (J ^ C) & (J ^ C) & F & F & F . What is E ?	(~E <=> J) & (C & ~G) & (J ^ C) & F . What is E ?	(~E <=> J) & (C & ~G) & (J ^ C) & F	True
J & J . What is J ?	J . What is J ?	J	True
(I | C) & (~D | F) & (~E <=> I) & (~D | F) & (~E <=> I) & (C ^ ~H) & (C ^ ~H) & D & (~D | F) & (~E <=> I) & (C ^ ~H) & D . What is ~G ?	(I | C) & (~D | F) & (~E <=> I) & (C ^ ~H) & D . What is ~G ?	(I | C) & (~D | F) & (~E <=> I) & (C ^ ~H) & D	Unknown HELP!
~I & ~I & ~I . What is I ?	~I . What is I ?	~I	False
(H <=> ~J) & (H <=> ~J) & (~I ^ H) & (~J <=> F) & (~J <=> F) & (~J <=> F) . What is H ?	(H <=> ~J) & (~I ^ H) & (~J <=> F) . What is H ?	(H <=> ~J) & (~I ^ H) & (~J <=> F)	Unknown HELP!
~D & ~D . What is D ?	~D . What is D ?	~D	False
(~C ==> ~J) & (E ==> ~A) & J & E & E & J & J & (E ==> ~A) & (E ==> ~A) & (~J ^ ~D) . What is ~D ?	(~C ==> ~J) & (E ==> ~A) & J & E & (~J ^ ~D) . What is ~D ?	(~C ==> ~J) & (E ==> ~A) & J & E & (~J ^ ~D)	True
~I & (~C <=> ~A) & (~C <=> ~A) & (~A & D) & (~I ==> ~C) & (~C <=> ~A) & (~I ==> ~C) & (~I ==> ~C) & (~A & D) . What is C ?	~I & (~C <=> ~A) & (~A & D) & (~I ==> ~C) . What is C ?	~I & (~C <=> ~A) & (~A & D) & (~I ==> ~C)	False
(D <=> H) & (D <=> H) & (~F <=> ~G) & (~F <=> ~G) & (H & ~A) & (H & ~A) & ~F & (D <=> H) & ~F & (~F <=> ~G) . What is D ?	(D <=> H) & (~F <=> ~G) & (H & ~A) & ~F . What is D ?	(D <=> H) & (~F <=> ~G) & (H & ~A) & ~F	True
(~F | ~E) & (G ==> D) & E & (G ==> D) & (D <=> ~F) & E . What is D ?	(~F | ~E) & (G ==> D) & E & (D <=> ~F) . What is D ?	(~F | ~E) & (G ==> D) & E & (D <=> ~F)	True
A & A & (J | A) & E & (F | ~C) & A & (~C & ~G) & (F | ~C) & (F | ~C) . What is C ?	A & (J | A) & E & (F | ~C) & (~C & ~G) . What is C ?	A & (J | A) & E & (F | ~C) & (~C & ~G)	False
~B & ~G & ~B & (~J & G) & (E ==> C) & (H ^ ~F) & (E ==> C) & (~F ==> ~J) & (~J & G) & (H ^ ~F) & (H ^ ~F) & (~F ==> ~J) . What is ~H ?	~B & ~G & (~J & G) & (E ==> C) & (H ^ ~F) & (~F ==> ~J) . What is ~H ?	~B & ~G & (~J & G) & (E ==> C) & (H ^ ~F) & (~F ==> ~J)	Contradictory
(~C ==> ~G) & B & (F ^ ~J) & ~A & (~C ==> ~G) & (~C ==> ~G) & (F ^ ~J) & B & ~A & (F ^ ~J) . What is A ?	(~C ==> ~G) & B & (F ^ ~J) & ~A . What is A ?	(~C ==> ~G) & B & (F ^ ~J) & ~A	False
~D & (J ^ D) & (J ^ D) & ~D & ~D & (H ==> J) & (H ==> J) . What is J ?	~D & (J ^ D) & (H ==> J) . What is J ?	~D & (J ^ D) & (H ==> J)	True
~C & (E <=> A) & B & ~C & B & ~C & (~B | F) & (~B | F) & (~B | F) & (E <=> A) & (E <=> A) . What is C ?	~C & (E <=> A) & B & (~B | F) . What is C ?	~C & (E <=> A) & B & (~B | F)	False
(B <=> ~D) & (C <=> ~G) & (B <=> ~D) & (A <=> B) & ~A & C & C & (B <=> ~D) & C . What is A ?	(B <=> ~D) & (C <=> ~G) & (A <=> B) & ~A & C . What is A ?	(B <=> ~D) & (C <=> ~G) & (A <=> B) & ~A & C	False
(~E & ~D) & (C & ~A) & (~F <=> C) & (~A ==> H) & (C & ~A) & I & I & I & (~E & ~D) . What is ~F ?	(~E & ~D) & (C & ~A) & (~F <=> C) & (~A ==> H) & I . What is ~F ?	(~E & ~D) & (C & ~A) & (~F <=> C) & (~A ==> H) & I	True
D & (~A & ~E) & G & G & (F & D) & (F & D) & (F & D) . What is ~A ?	D & (~A & ~E) & G & (F & D) . What is ~A ?	D & (~A & ~E) & G & (F & D)	True
~D & ~D & (~H & ~B) & ~C & (~C ^ ~F) & ~C & ~C . What is ~B ?	~D & (~H & ~B) & ~C & (~C ^ ~F) . What is ~B ?	~D & (~H & ~B) & ~C & (~C ^ ~F)	True
J & J . What is ~J ?	J . What is ~J ?	J	False
(~C ^ B) & ~B & (A ^ F) & ~A & (B | ~H) & (~C ^ B) & (~C ^ B) & ~B & ~B . What is C ?	(~C ^ B) & ~B & (A ^ F) & ~A & (B | ~H) . What is C ?	(~C ^ B) & ~B & (A ^ F) & ~A & (B | ~H)	False
J & J & J . What is J ?	J . What is J ?	J	True
~J & ~J & ~J . What is J ?	~J . What is J ?	~J	False
(I ==> ~J) & (I ==> ~J) & (~F & I) & (~E | ~F) & (~E | ~F) . What is I ?	(I ==> ~J) & (~F & I) & (~E | ~F) . What is I ?	(I ==> ~J) & (~F & I) & (~E | ~F)	True
(~E | ~C) & (~C <=> ~D) & (~F & J) & F & F & F & (~F & J) & (~F & J) . What is E ?	(~E | ~C) & (~C <=> ~D) & (~F & J) & F . What is E ?	(~E | ~C) & (~C <=> ~D) & (~F & J) & F	Contradictory
~H & (~F | ~H) & (~J & ~G) & (~F | ~H) & (~J & ~G) & (~F | ~H) & (~J & ~G) . What is J ?	~H & (~F | ~H) & (~J & ~G) . What is J ?	~H & (~F | ~H) & (~J & ~G)	False
(~E <=> ~H) & (~C & G) & ~G & ~G & (~C & G) & (~C & G) . What is ~H ?	(~E <=> ~H) & (~C & G) & ~G . What is ~H ?	(~E <=> ~H) & (~C & G) & ~G	Contradictory
E & ~H & E & (E ^ C) & (~G <=> E) & E & (C | J) & (C | J) & (~H ^ ~A) & (E ^ C) & (~H ^ ~A) & (~H ^ ~A) & (E ^ C) . What is ~J ?	E & ~H & (E ^ C) & (~G <=> E) & (C | J) & (~H ^ ~A) . What is ~J ?	E & ~H & (E ^ C) & (~G <=> E) & (C | J) & (~H ^ ~A)	False
~F . What is F ?	~F . What is F ?	~F	False
(~J <=> A) & E & (G ^ ~F) & B & (~B | G) & B & B & (~J <=> A) & (~B | G) & (G ^ ~F) & (~B | G) & (~F | ~H) & (G ^ ~F) & (~F | ~H) . What is ~B ?	(~J <=> A) & E & (G ^ ~F) & B & (~B | G) & (~F | ~H) . What is ~B ?	(~J <=> A) & E & (G ^ ~F) & B & (~B | G) & (~F | ~H)	False
(~I | ~G) & (F & ~D) & D & (~I | ~G) . What is E ?	(~I | ~G) & (F & ~D) & D . What is E ?	(~I | ~G) & (F & ~D) & D	Contradictory
F . What is F ?	F . What is F ?	F	True
(C ^ ~G) & (~E & A) & (C ^ ~G) & (A | F) & I & (C ^ ~G) & (~E & A) & I & (~E & A) & I . What is ~E ?	(C ^ ~G) & (~E & A) & (A | F) & I . What is ~E ?	(C ^ ~G) & (~E & A) & (A | F) & I	True
(~H ==> J) & (~H ==> J) . What is H ?	(~H ==> J) . What is H ?	(~H ==> J)	Unknown HELP!
H & H & H . What is H ?	H . What is H ?	H	True
F & (D <=> I) & (A <=> ~J) & (C ==> D) & ~I & ~I & (C ==> D) & (C ==> D) . What is I ?	F & (D <=> I) & (A <=> ~J) & (C ==> D) & ~I . What is I ?	F & (D <=> I) & (A <=> ~J) & (C ==> D) & ~I	False
H & H . What is H ?	H . What is H ?	H	True
(~C & ~G) & (~H ^ ~J) & (~C & ~G) & (B & ~C) & ~H & (~C & ~G) & (I & B) & ~H & (B & ~C) & ~H & (B & ~C) . What is B ?	(~C & ~G) & (~H ^ ~J) & (B & ~C) & ~H & (I & B) . What is B ?	(~C & ~G) & (~H ^ ~J) & (B & ~C) & ~H & (I & B)	True
G & G . What is ~G ?	G . What is ~G ?	G	False
D & (~A ==> ~I) & (~I ==> ~D) & (B | ~F) & ~F & D & D & (~A ==> ~I) & (~D ==> G) & (~A ==> ~I) & (~I ==> ~D) & (~I ==> ~D) & (B | ~F) . What is D ?	D & (~A ==> ~I) & (~I ==> ~D) & (B | ~F) & ~F & (~D ==> G) . What is D ?	D & (~A ==> ~I) & (~I ==> ~D) & (B | ~F) & ~F & (~D ==> G)	True
(~H <=> J) & E & E & (~A ==> ~H) & (~H <=> J) & (~H <=> J) & (~I ^ ~E) & (~I ^ ~E) & A & (~D | ~A) & A & (~D | ~A) . What is ~D ?	(~H <=> J) & E & (~A ==> ~H) & (~I ^ ~E) & A & (~D | ~A) . What is ~D ?	(~H <=> J) & E & (~A ==> ~H) & (~I ^ ~E) & A & (~D | ~A)	True
(~G ^ F) & (I | ~G) & (I | ~G) & (~H <=> I) & (~H <=> I) & (~G ^ F) & ~G & ~G . What is F ?	(~G ^ F) & (I | ~G) & (~H <=> I) & ~G . What is F ?	(~G ^ F) & (I | ~G) & (~H <=> I) & ~G	False
~B & (I ==> ~E) & ~B & (I ==> ~E) & (C ^ I) & (~E ^ ~B) & (C ^ I) & (C ^ I) & (~E ^ ~B) & (~E ^ ~B) . What is ~E ?	~B & (I ==> ~E) & (C ^ I) & (~E ^ ~B) . What is ~E ?	~B & (I ==> ~E) & (C ^ I) & (~E ^ ~B)	False
(~G <=> ~E) & (~G <=> ~E) & ~J & (~G <=> ~E) & ~A & (~C ==> ~J) & (~E & ~A) & (~E & ~A) & ~A & ~A . What is A ?	(~G <=> ~E) & ~J & ~A & (~C ==> ~J) & (~E & ~A) . What is A ?	(~G <=> ~E) & ~J & ~A & (~C ==> ~J) & (~E & ~A)	False
(J | ~E) & (~E & ~D) & (J | ~E) & (H ^ ~I) & (H ^ ~I) & (~E & ~D) & (H ^ ~I) & C & J & J . What is D ?	(J | ~E) & (~E & ~D) & (H ^ ~I) & C & J . What is D ?	(J | ~E) & (~E & ~D) & (H ^ ~I) & C & J	False
(E ==> ~H) & (~H & G) . What is H ?	(E ==> ~H) & (~H & G) . What is H ?	(E ==> ~H) & (~H & G)	False
(~B | ~I) & (~B | ~I) & (~E ==> G) & (~E ==> G) & (G <=> ~B) . What is ~H ?	(~B | ~I) & (~E ==> G) & (G <=> ~B) . What is ~H ?	(~B | ~I) & (~E ==> G) & (G <=> ~B)	Unknown HELP!
(~E & ~G) & (~E & ~G) & (~E & ~G) & A & A & A . What is ~A ?	(~E & ~G) & A . What is ~A ?	(~E & ~G) & A	False
H & (D ^ ~C) & H & (D ^ ~C) & (J ^ ~G) & (D ^ ~C) & (~E ==> ~B) & (~G & D) & (~G & D) & (~E ==> ~B) . What is ~D ?	H & (D ^ ~C) & (J ^ ~G) & (~E ==> ~B) & (~G & D) . What is ~D ?	H & (D ^ ~C) & (J ^ ~G) & (~E ==> ~B) & (~G & D)	False
