E & (~B ==> C) & E & (~E ^ ~G) & (~E ^ ~G) & E & (~E ^ ~G) & (~B ==> C) . What is ~H ?	E & (~B ==> C) & (~E ^ ~G) . What is ~H ?	E & (~B ==> C) & (~E ^ ~G)	Unknown HELP!
(~J <=> D) & (I & C) & ~I & (I & C) & ~J . What is J ?	(~J <=> D) & (I & C) & ~I & ~J . What is J ?	(~J <=> D) & (I & C) & ~I & ~J	Contradictory
E . What is E ?	E . What is E ?	E	True
(J | ~B) & ~C . What is C ?	(J | ~B) & ~C . What is C ?	(J | ~B) & ~C	False
(~F | A) & A & A & (~C ^ ~G) & (~F | A) & (~E & ~C) & ~E & (~E & ~C) & (~E & ~C) . What is ~G ?	(~F | A) & A & (~C ^ ~G) & (~E & ~C) & ~E . What is ~G ?	(~F | A) & A & (~C ^ ~G) & (~E & ~C) & ~E	False
~A & ~A . What is ~A ?	~A . What is ~A ?	~A	True
~B & (H ^ E) & (E ^ ~C) & ~B & ~B & (D & H) & (H ^ E) & (D & H) . What is ~D ?	~B & (H ^ E) & (E ^ ~C) & (D & H) . What is ~D ?	~B & (H ^ E) & (E ^ ~C) & (D & H)	False
(~A ^ I) & (I & ~H) & (I & ~H) & (~G | ~A) & (I & ~H) & (D ^ ~E) & (~G | ~A) & (~G | ~A) & ~C & ~C . What is ~A ?	(~A ^ I) & (I & ~H) & (~G | ~A) & (D ^ ~E) & ~C . What is ~A ?	(~A ^ I) & (I & ~H) & (~G | ~A) & (D ^ ~E) & ~C	False
H & (~H | G) & ~I & ~I & ~I & (C <=> ~D) & (C <=> ~D) & (C <=> ~D) . What is G ?	H & (~H | G) & ~I & (C <=> ~D) . What is G ?	H & (~H | G) & ~I & (C <=> ~D)	True
(F | ~C) & (F | ~C) & (~J ==> F) & (~C ^ G) & (F | ~C) . What is ~C ?	(F | ~C) & (~J ==> F) & (~C ^ G) . What is ~C ?	(F | ~C) & (~J ==> F) & (~C ^ G)	Unknown HELP!
F & F . What is ~F ?	F . What is ~F ?	F	False
A & A & (~G ^ J) & (H & ~G) & (~G ^ J) . What is ~J ?	A & (~G ^ J) & (H & ~G) . What is ~J ?	A & (~G ^ J) & (H & ~G)	True
~J & ~J . What is ~J ?	~J . What is ~J ?	~J	True
~E & ~E . What is E ?	~E . What is E ?	~E	False
~G & (J | G) & ~G & ~G & (J | G) & (~C <=> ~H) & C & C & (~C <=> ~H) & (~C <=> ~H) . What is C ?	~G & (J | G) & (~C <=> ~H) & C . What is C ?	~G & (J | G) & (~C <=> ~H) & C	True
I & (~I ^ J) . What is J ?	I & (~I ^ J) . What is J ?	I & (~I ^ J)	True
A & A & A . What is A ?	A . What is A ?	A	True
(F <=> I) & (~H <=> ~A) & G & H & (~E & ~H) & G & G & H & H & (~H <=> ~A) . What is H ?	(F <=> I) & (~H <=> ~A) & G & H & (~E & ~H) . What is H ?	(F <=> I) & (~H <=> ~A) & G & H & (~E & ~H)	Contradictory
C & (C ^ H) & (C ^ H) & C & C . What is ~C ?	C & (C ^ H) . What is ~C ?	C & (C ^ H)	False
(~I <=> G) & ~I & (~I <=> G) & ~I & (H <=> F) & (H <=> F) & (H <=> F) & (F <=> ~I) & (F <=> ~I) . What is ~G ?	(~I <=> G) & ~I & (H <=> F) & (F <=> ~I) . What is ~G ?	(~I <=> G) & ~I & (H <=> F) & (F <=> ~I)	False
(E & H) & (H <=> ~C) & (E & H) & (H <=> ~C) & (H <=> ~C) . What is E ?	(E & H) & (H <=> ~C) . What is E ?	(E & H) & (H <=> ~C)	True
~E & D & D & (C ^ F) & (A & ~E) & D & ~E & (H ^ ~G) & (C ^ F) & (~E ^ H) & (C ^ F) . What is ~G ?	~E & D & (C ^ F) & (A & ~E) & (H ^ ~G) & (~E ^ H) . What is ~G ?	~E & D & (C ^ F) & (A & ~E) & (H ^ ~G) & (~E ^ H)	True
(~B & ~J) & (~J ==> G) & (~B & ~J) & (~J ==> G) & (~J ==> G) . What is ~B ?	(~B & ~J) & (~J ==> G) . What is ~B ?	(~B & ~J) & (~J ==> G)	True
~C . What is ~C ?	~C . What is ~C ?	~C	True
~B & ~B . What is B ?	~B . What is B ?	~B	False
(H & D) & (D <=> C) & (C ^ ~J) & (F <=> I) & (H & D) & (F <=> I) & (C ^ ~J) & I . What is H ?	(H & D) & (D <=> C) & (C ^ ~J) & (F <=> I) & I . What is H ?	(H & D) & (D <=> C) & (C ^ ~J) & (F <=> I) & I	True
H & H & H . What is H ?	H . What is H ?	H	True
(~E & B) & ~E & (~J & ~C) & (~J & ~C) & (B ==> ~J) & (B ==> ~J) . What is J ?	(~E & B) & ~E & (~J & ~C) & (B ==> ~J) . What is J ?	(~E & B) & ~E & (~J & ~C) & (B ==> ~J)	False
(E | D) & I & (~I & E) & I & (~I & E) & I & (~I & E) & (E | D) & (B | ~I) . What is ~H ?	(E | D) & I & (~I & E) & (B | ~I) . What is ~H ?	(E | D) & I & (~I & E) & (B | ~I)	Contradictory
B & (E ==> ~I) & (F ^ ~D) & ~D & (F ^ ~D) & (~D & E) & (~D & E) & (~D & E) & (F ^ ~D) & (J | C) & (J | C) & (J | C) . What is I ?	B & (E ==> ~I) & (F ^ ~D) & ~D & (~D & E) & (J | C) . What is I ?	B & (E ==> ~I) & (F ^ ~D) & ~D & (~D & E) & (J | C)	False
(~D & ~B) & (~D & ~B) & H & (C & A) & (C & A) & H & ~A & H . What is ~B ?	(~D & ~B) & H & (C & A) & ~A . What is ~B ?	(~D & ~B) & H & (C & A) & ~A	Contradictory
~I . What is I ?	~I . What is I ?	~I	False
(~D <=> ~I) & (~A | ~C) & (~A | ~C) & (~A | ~C) & (J & ~D) & (J & ~D) & ~A & ~A . What is ~J ?	(~D <=> ~I) & (~A | ~C) & (J & ~D) & ~A . What is ~J ?	(~D <=> ~I) & (~A | ~C) & (J & ~D) & ~A	False
(D & ~E) & (~H ==> D) & (~H ==> D) & (~H ==> D) & (D & ~E) & (~G & ~I) & (D & ~E) & (~G & ~I) & (~G & ~I) & G & G & G . What is ~H ?	(D & ~E) & (~H ==> D) & (~G & ~I) & G . What is ~H ?	(D & ~E) & (~H ==> D) & (~G & ~I) & G	Contradictory
(G <=> H) & (H & ~F) & (H & ~F) & (H & ~F) . What is ~G ?	(G <=> H) & (H & ~F) . What is ~G ?	(G <=> H) & (H & ~F)	False
 . What is J ?	 . What is J ?		Unknown HELP!
(~C & ~D) & (~D & ~E) & (~D & ~E) & (~D & ~E) & (H ^ ~C) . What is H ?	(~C & ~D) & (~D & ~E) & (H ^ ~C) . What is H ?	(~C & ~D) & (~D & ~E) & (H ^ ~C)	False
(~H <=> ~I) & ~F & ~D & (~H <=> ~I) & (~B | ~D) & (~I | F) & (~B | ~D) . What is I ?	(~H <=> ~I) & ~F & ~D & (~B | ~D) & (~I | F) . What is I ?	(~H <=> ~I) & ~F & ~D & (~B | ~D) & (~I | F)	False
(~B | F) & (J & ~B) & (J & ~B) & (J & ~B) . What is ~B ?	(~B | F) & (J & ~B) . What is ~B ?	(~B | F) & (J & ~B)	True
D & D . What is D ?	D . What is D ?	D	True
~B . What is B ?	~B . What is B ?	~B	False
(J ^ G) & (E & ~C) & (~C & H) & (J ^ G) & (J ^ G) & ~G & (~F | E) & (~C & H) & E . What is ~H ?	(J ^ G) & (E & ~C) & (~C & H) & ~G & (~F | E) & E . What is ~H ?	(J ^ G) & (E & ~C) & (~C & H) & ~G & (~F | E) & E	False
(~B & E) & F & F & (~J <=> I) & (~B & E) & F . What is E ?	(~B & E) & F & (~J <=> I) . What is E ?	(~B & E) & F & (~J <=> I)	True
~H & (~I & ~B) . What is ~B ?	~H & (~I & ~B) . What is ~B ?	~H & (~I & ~B)	True
(~I & A) & (~B ==> ~I) & (~I & A) . What is I ?	(~I & A) & (~B ==> ~I) . What is I ?	(~I & A) & (~B ==> ~I)	False
B . What is B ?	B . What is B ?	B	True
~F & ~F . What is ~F ?	~F . What is ~F ?	~F	True
(~G & E) & (~C ==> ~H) & (E ==> ~C) . What is ~E ?	(~G & E) & (~C ==> ~H) & (E ==> ~C) . What is ~E ?	(~G & E) & (~C ==> ~H) & (E ==> ~C)	False
J . What is ~J ?	J . What is ~J ?	J	False
F & F & (~E ==> J) & (D <=> ~E) & (~E ==> J) & (~F ^ A) & ~J & (~E ==> J) & ~J & F & (D <=> ~E) & (C ^ D) & (C ^ D) & (~F ^ A) & (~F ^ A) . What is E ?	F & (~E ==> J) & (D <=> ~E) & (~F ^ A) & ~J & (C ^ D) . What is E ?	F & (~E ==> J) & (D <=> ~E) & (~F ^ A) & ~J & (C ^ D)	True
(~C | ~B) & B & (~C | ~B) & (~C | ~B) & (F & H) & (F & H) & (F & H) . What is H ?	(~C | ~B) & B & (F & H) . What is H ?	(~C | ~B) & B & (F & H)	True
~B & ~E & (B <=> C) & (C | I) & (C | I) & (C | I) & (H & B) & (~J ==> E) & (~J ==> E) & (H & B) . What is C ?	~B & ~E & (B <=> C) & (C | I) & (H & B) & (~J ==> E) . What is C ?	~B & ~E & (B <=> C) & (C | I) & (H & B) & (~J ==> E)	Contradictory
(I <=> A) & A & A & (~E ^ J) & (J & D) & (B ^ ~E) & (B ^ ~E) & (I <=> A) & (J & D) & (J & D) . What is ~D ?	(I <=> A) & A & (~E ^ J) & (J & D) & (B ^ ~E) . What is ~D ?	(I <=> A) & A & (~E ^ J) & (J & D) & (B ^ ~E)	False
~H & ~H & (H | ~E) & ~H & (H | ~E) & (I & F) & (H | ~E) . What is ~I ?	~H & (H | ~E) & (I & F) . What is ~I ?	~H & (H | ~E) & (I & F)	False
~G & ~G . What is G ?	~G . What is G ?	~G	False
(F | B) & (F | B) & (~E | J) & (C <=> ~A) & ~J & (~E | J) & (B ^ C) & ~C & (F | B) & ~J & (C <=> ~A) & ~J & (B ^ C) & (B ^ C) . What is ~A ?	(F | B) & (~E | J) & (C <=> ~A) & ~J & (B ^ C) & ~C . What is ~A ?	(F | B) & (~E | J) & (C <=> ~A) & ~J & (B ^ C) & ~C	False
(~B | ~F) & ~F & (E <=> ~B) & (E <=> ~B) & (~B | ~F) . What is ~F ?	(~B | ~F) & ~F & (E <=> ~B) . What is ~F ?	(~B | ~F) & ~F & (E <=> ~B)	True
(~I & H) . What is I ?	(~I & H) . What is I ?	(~I & H)	False
(F & C) & E & (C | E) & (F & C) . What is ~E ?	(F & C) & E & (C | E) . What is ~E ?	(F & C) & E & (C | E)	False
(A ^ D) & (A ^ D) & (~F & I) & (~F & I) & (I ==> A) & ~F . What is I ?	(A ^ D) & (~F & I) & (I ==> A) & ~F . What is I ?	(A ^ D) & (~F & I) & (I ==> A) & ~F	True
(~H & G) & ~G & ~G & (~J | ~H) . What is ~J ?	(~H & G) & ~G & (~J | ~H) . What is ~J ?	(~H & G) & ~G & (~J | ~H)	Contradictory
~G & ~G & ~G . What is ~G ?	~G . What is ~G ?	~G	True
(~H | E) & (~H | E) & (E ==> I) & ~I & (E ==> I) & (~H | E) & (E ==> I) & ~I & ~I . What is H ?	(~H | E) & (E ==> I) & ~I . What is H ?	(~H | E) & (E ==> I) & ~I	False
(~D | ~F) & ~I & (~D | ~F) & (~F ^ I) & (~F ^ I) & (~D | ~F) . What is ~J ?	(~D | ~F) & ~I & (~F ^ I) . What is ~J ?	(~D | ~F) & ~I & (~F ^ I)	Unknown HELP!
~C & ~C & (G ==> C) . What is C ?	~C & (G ==> C) . What is C ?	~C & (G ==> C)	False
A & (~A & F) & (B <=> ~J) & (~C & B) & (~C & B) & (~A & F) & (~A & F) . What is ~J ?	A & (~A & F) & (B <=> ~J) & (~C & B) . What is ~J ?	A & (~A & F) & (B <=> ~J) & (~C & B)	Contradictory
H & (~H & E) & (E | D) & H & (~I & ~H) & (E | D) & (~H & E) . What is ~E ?	H & (~H & E) & (E | D) & (~I & ~H) . What is ~E ?	H & (~H & E) & (E | D) & (~I & ~H)	Contradictory
D & (~B <=> ~F) & (~G | ~I) & (~F & ~G) & (~G | ~I) & (~B <=> ~F) & (~B <=> ~F) & (~G | ~I) . What is D ?	D & (~B <=> ~F) & (~G | ~I) & (~F & ~G) . What is D ?	D & (~B <=> ~F) & (~G | ~I) & (~F & ~G)	True
H & (C & F) & H & (~H & C) & H & (C & F) . What is H ?	H & (C & F) & (~H & C) . What is H ?	H & (C & F) & (~H & C)	Contradictory
(E ^ ~G) & (E ^ ~G) & (~G & ~F) & (~G & ~F) . What is ~F ?	(E ^ ~G) & (~G & ~F) . What is ~F ?	(E ^ ~G) & (~G & ~F)	True
 . What is B ?	 . What is B ?		Unknown HELP!
(D | E) & I & (~I ==> ~C) & (~I ==> ~C) & (G & H) & (G & H) & (~C & D) & ~H & (~C & D) & (~C & D) & (D | E) & ~H . What is I ?	(D | E) & I & (~I ==> ~C) & (G & H) & (~C & D) & ~H . What is I ?	(D | E) & I & (~I ==> ~C) & (G & H) & (~C & D) & ~H	Contradictory
(H <=> ~C) & ~H & (H <=> ~C) & (H <=> ~C) & ~H . What is H ?	(H <=> ~C) & ~H . What is H ?	(H <=> ~C) & ~H	False
E & C & (F | ~G) & (A | ~I) & (~I ^ F) & (~H | ~B) & (A | ~I) & (~I ^ F) & C & C & (~I ^ F) . What is I ?	E & C & (F | ~G) & (A | ~I) & (~I ^ F) & (~H | ~B) . What is I ?	E & C & (F | ~G) & (A | ~I) & (~I ^ F) & (~H | ~B)	Unknown HELP!
~H & (D <=> F) & (~H <=> D) & (~H <=> D) & (F ^ ~A) & (~H <=> D) & (F ^ ~A) . What is ~A ?	~H & (D <=> F) & (~H <=> D) & (F ^ ~A) . What is ~A ?	~H & (D <=> F) & (~H <=> D) & (F ^ ~A)	False
(G | C) & (~F & G) & (C & ~H) & (~F & G) & (G | C) & (C & ~H) & ~H & I & (I ==> ~D) & (C & ~H) & ~H & ~H & I & I . What is F ?	(G | C) & (~F & G) & (C & ~H) & ~H & I & (I ==> ~D) . What is F ?	(G | C) & (~F & G) & (C & ~H) & ~H & I & (I ==> ~D)	False
H & I & (~A & G) & (~A & G) & (~B <=> I) & I & I . What is ~G ?	H & I & (~A & G) & (~B <=> I) . What is ~G ?	H & I & (~A & G) & (~B <=> I)	False
~C & ~C & ~C . What is ~C ?	~C . What is ~C ?	~C	True
~F . What is ~F ?	~F . What is ~F ?	~F	True
~F & (~B | E) & ~F & (~G ==> ~F) & (~I & ~B) & (~I & ~B) & (~I & ~B) & ~F & (J <=> ~I) & (J <=> ~I) . What is B ?	~F & (~B | E) & (~G ==> ~F) & (~I & ~B) & (J <=> ~I) . What is B ?	~F & (~B | E) & (~G ==> ~F) & (~I & ~B) & (J <=> ~I)	False
H & H . What is ~H ?	H . What is ~H ?	H	False
(H & A) & H . What is A ?	(H & A) & H . What is A ?	(H & A) & H	True
D & D . What is D ?	D . What is D ?	D	True
(~A & ~C) & (F ^ ~A) & (~A & ~C) & (F ^ ~A) . What is ~F ?	(~A & ~C) & (F ^ ~A) . What is ~F ?	(~A & ~C) & (F ^ ~A)	True
(F & G) & (F & G) & (G ^ ~I) & (G ^ ~I) . What is ~I ?	(F & G) & (G ^ ~I) . What is ~I ?	(F & G) & (G ^ ~I)	False
~D & ~D . What is ~I ?	~D . What is ~I ?	~D	Unknown HELP!
D & D . What is ~D ?	D . What is ~D ?	D	False
~I & H & H & ~I & (A <=> B) & (~E & H) & (A <=> B) & (~C <=> ~E) & (A <=> B) & (~C <=> ~E) & (~C <=> ~E) & ~I . What is ~E ?	~I & H & (A <=> B) & (~E & H) & (~C <=> ~E) . What is ~E ?	~I & H & (A <=> B) & (~E & H) & (~C <=> ~E)	True
(~G & ~C) & (~C <=> D) & (~C <=> D) & (~G & ~C) . What is ~G ?	(~G & ~C) & (~C <=> D) . What is ~G ?	(~G & ~C) & (~C <=> D)	True
(~B ==> ~D) & (J | ~B) & (J | ~B) & D & D . What is ~J ?	(~B ==> ~D) & (J | ~B) & D . What is ~J ?	(~B ==> ~D) & (J | ~B) & D	False
A & A . What is ~A ?	A . What is ~A ?	A	False
~A . What is A ?	~A . What is A ?	~A	False
(E ==> H) & (~I ^ ~J) & (~J ==> E) & (E ==> H) & (~J ==> E) & (~J ==> E) . What is G ?	(E ==> H) & (~I ^ ~J) & (~J ==> E) . What is G ?	(E ==> H) & (~I ^ ~J) & (~J ==> E)	Unknown HELP!
~F & (~J ==> ~F) & ~F & (~J ==> ~F) & (~J ==> ~F) & (~E & ~J) & ~F & (~E & ~J) & (~A ==> ~E) & (~A ==> ~E) . What is ~F ?	~F & (~J ==> ~F) & (~E & ~J) & (~A ==> ~E) . What is ~F ?	~F & (~J ==> ~F) & (~E & ~J) & (~A ==> ~E)	True
(I ^ ~C) & (J & I) & (~G ==> J) & (~G ==> J) . What is C ?	(I ^ ~C) & (J & I) & (~G ==> J) . What is C ?	(I ^ ~C) & (J & I) & (~G ==> J)	True
F & (H <=> ~C) & (F & ~G) & (F & ~G) & ~A & (~C ^ F) & ~A & (~C ^ F) & (H <=> ~C) & (I ^ J) & (H <=> ~C) . What is ~F ?	F & (H <=> ~C) & (F & ~G) & ~A & (~C ^ F) & (I ^ J) . What is ~F ?	F & (H <=> ~C) & (F & ~G) & ~A & (~C ^ F) & (I ^ J)	False
(~B ^ G) & H & F & F & (~A & ~H) & (~A & ~H) & (G ^ ~F) & F & H & (G ^ ~F) & (G ^ ~F) . What is G ?	(~B ^ G) & H & F & (~A & ~H) & (G ^ ~F) . What is G ?	(~B ^ G) & H & F & (~A & ~H) & (G ^ ~F)	Contradictory
D & D . What is I ?	D . What is I ?	D	Unknown HELP!
~I & (~A | ~H) & ~A & (~D <=> I) & (~D <=> I) & ~I & (~H & E) & ~I & (~H & E) & (E <=> ~B) & (~H & E) & (E <=> ~B) . What is H ?	~I & (~A | ~H) & ~A & (~D <=> I) & (~H & E) & (E <=> ~B) . What is H ?	~I & (~A | ~H) & ~A & (~D <=> I) & (~H & E) & (E <=> ~B)	False
I & I . What is ~I ?	I . What is ~I ?	I	False
H & H . What is B ?	H . What is B ?	H	Unknown HELP!
~B & (A ==> ~F) & (~F ==> ~G) & (C & A) & ~C & ~C & (~I | D) & (~I | D) & (~F ==> ~G) & ~C . What is G ?	~B & (A ==> ~F) & (~F ==> ~G) & (C & A) & ~C & (~I | D) . What is G ?	~B & (A ==> ~F) & (~F ==> ~G) & (C & A) & ~C & (~I | D)	Contradictory
F & F . What is ~F ?	F . What is ~F ?	F	False
~H & (~A ==> H) & (~A ==> H) & (H ^ B) . What is H ?	~H & (~A ==> H) & (H ^ B) . What is H ?	~H & (~A ==> H) & (H ^ B)	False
F . What is ~F ?	F . What is ~F ?	F	False
A & A & A . What is A ?	A . What is A ?	A	True
(G | B) & (B ^ D) & (G | B) . What is ~F ?	(G | B) & (B ^ D) . What is ~F ?	(G | B) & (B ^ D)	Unknown HELP!
(~I | C) & (~H & E) & (~F <=> ~H) & (~H & E) & B & (~H & E) & (~I | C) & (~F <=> ~H) . What is F ?	(~I | C) & (~H & E) & (~F <=> ~H) & B . What is F ?	(~I | C) & (~H & E) & (~F <=> ~H) & B	False
B . What is ~B ?	B . What is ~B ?	B	False
~C & (I & ~A) & (F | ~C) & (~A ^ E) & J & (E | J) & (E | J) . What is I ?	~C & (I & ~A) & (F | ~C) & (~A ^ E) & J & (E | J) . What is I ?	~C & (I & ~A) & (F | ~C) & (~A ^ E) & J & (E | J)	True
E & ~J & (~H ^ E) & (~H ^ E) & (I | ~B) & (~H ^ E) & (G & I) & ~J & (G & I) & (G & I) & E & (I | ~B) & (I | ~B) & E . What is ~J ?	E & ~J & (~H ^ E) & (I | ~B) & (G & I) . What is ~J ?	E & ~J & (~H ^ E) & (I | ~B) & (G & I)	True
(~D ^ E) & (~F | J) & (~C <=> G) & (G ^ ~F) & (G ^ ~F) & (~F | J) & (~C <=> G) & C & ~A & C & (~C <=> G) & C . What is ~F ?	(~D ^ E) & (~F | J) & (~C <=> G) & (G ^ ~F) & C & ~A . What is ~F ?	(~D ^ E) & (~F | J) & (~C <=> G) & (G ^ ~F) & C & ~A	True
H & H & H . What is ~H ?	H . What is ~H ?	H	False
(I ==> ~G) & ~J & ~J & (I ==> ~G) . What is J ?	(I ==> ~G) & ~J . What is J ?	(I ==> ~G) & ~J	False
(J ==> ~E) & ~J & ~J & (~G & ~I) & (~D & C) & (~G & ~I) & (~I ^ ~D) & (~D & C) & (~I ^ ~D) & (~D & C) . What is ~B ?	(J ==> ~E) & ~J & (~G & ~I) & (~D & C) & (~I ^ ~D) . What is ~B ?	(J ==> ~E) & ~J & (~G & ~I) & (~D & C) & (~I ^ ~D)	Contradictory
(~I & ~G) & (~G <=> ~D) & ~D & (~G <=> ~D) & (~I & ~G) & (~G <=> ~D) & (~A ^ ~F) & ~F & (~A ^ ~F) & ~F & (~I & ~G) . What is D ?	(~I & ~G) & (~G <=> ~D) & ~D & (~A ^ ~F) & ~F . What is D ?	(~I & ~G) & (~G <=> ~D) & ~D & (~A ^ ~F) & ~F	False
~H . What is ~H ?	~H . What is ~H ?	~H	True
~G & ~G & (~G <=> ~H) & (~A ==> I) & (~H ^ ~A) & (~A ==> I) & (~H ^ ~A) & (~A ==> I) & (~G <=> ~H) . What is ~G ?	~G & (~G <=> ~H) & (~A ==> I) & (~H ^ ~A) . What is ~G ?	~G & (~G <=> ~H) & (~A ==> I) & (~H ^ ~A)	True
(~G ==> ~E) & (~G ==> ~E) & E & (~G ==> ~E) & (~E <=> I) & E . What is ~I ?	(~G ==> ~E) & E & (~E <=> I) . What is ~I ?	(~G ==> ~E) & E & (~E <=> I)	True
(G | B) & ~C & ~D & (~C ^ ~F) & (G | B) & (~C ^ ~F) & (~C ^ ~F) . What is A ?	(G | B) & ~C & ~D & (~C ^ ~F) . What is A ?	(G | B) & ~C & ~D & (~C ^ ~F)	Unknown HELP!
B & (~B & C) & (I & ~A) & (~J <=> I) & (~J <=> I) . What is ~E ?	B & (~B & C) & (I & ~A) & (~J <=> I) . What is ~E ?	B & (~B & C) & (I & ~A) & (~J <=> I)	Contradictory
J & J & J . What is ~J ?	J . What is ~J ?	J	False
(A ^ ~B) & A & (H <=> A) & F & (~G <=> ~F) & (~B | ~I) & (~G <=> ~F) & A & (H <=> A) & (H <=> A) & (A ^ ~B) & A & (A ^ ~B) . What is ~H ?	(A ^ ~B) & A & (H <=> A) & F & (~G <=> ~F) & (~B | ~I) . What is ~H ?	(A ^ ~B) & A & (H <=> A) & F & (~G <=> ~F) & (~B | ~I)	False
B . What is ~B ?	B . What is ~B ?	B	False
(D | J) & H & (H ^ D) & (H ^ D) & (D | J) & (E | C) & H & (~I <=> H) & (H ^ D) & C & C & (~I <=> H) & (E | C) . What is J ?	(D | J) & H & (H ^ D) & (E | C) & (~I <=> H) & C . What is J ?	(D | J) & H & (H ^ D) & (E | C) & (~I <=> H) & C	True
 . What is D ?	 . What is D ?		Unknown HELP!
I & (D & ~B) & (I ^ ~C) & (I ^ ~C) & (I ^ ~C) . What is G ?	I & (D & ~B) & (I ^ ~C) . What is G ?	I & (D & ~B) & (I ^ ~C)	Unknown HELP!
~D & (B ^ ~A) & (B ^ ~A) & ~D & (~H & ~D) & ~D & (B ^ ~A) & ~J & ~J & ~J . What is D ?	~D & (B ^ ~A) & (~H & ~D) & ~J . What is D ?	~D & (B ^ ~A) & (~H & ~D) & ~J	False
(~A ^ ~E) & (~A ^ ~E) & (~E <=> ~D) & (~E <=> ~D) & ~A & (~E <=> ~D) . What is ~A ?	(~A ^ ~E) & (~E <=> ~D) & ~A . What is ~A ?	(~A ^ ~E) & (~E <=> ~D) & ~A	True
(~B ^ C) & (~B ^ C) & B & (F & J) & (J ==> G) & (H <=> F) & (J ==> G) & B & (J ==> G) & (~B ^ C) . What is F ?	(~B ^ C) & B & (F & J) & (J ==> G) & (H <=> F) . What is F ?	(~B ^ C) & B & (F & J) & (J ==> G) & (H <=> F)	True
(~J <=> B) & ~I & ~B & (~A & H) & (B <=> ~A) & (~A & H) & (E ==> I) & (~A & H) & (E ==> I) & (E ==> I) & ~I & ~B & ~B . What is ~A ?	(~J <=> B) & ~I & ~B & (~A & H) & (B <=> ~A) & (E ==> I) . What is ~A ?	(~J <=> B) & ~I & ~B & (~A & H) & (B <=> ~A) & (E ==> I)	Contradictory
~D & (~I <=> D) & (G & ~C) & (~I <=> D) & (D <=> ~F) & ~D & ~D & (G & ~C) & J & J . What is F ?	~D & (~I <=> D) & (G & ~C) & (D <=> ~F) & J . What is F ?	~D & (~I <=> D) & (G & ~C) & (D <=> ~F) & J	True
(~J <=> ~A) & (~C & ~J) & B & B & (~G ==> ~D) & (~G ==> ~D) & (~C & ~J) & (E & ~C) & (E & ~C) & (~G ==> ~D) . What is ~C ?	(~J <=> ~A) & (~C & ~J) & B & (~G ==> ~D) & (E & ~C) . What is ~C ?	(~J <=> ~A) & (~C & ~J) & B & (~G ==> ~D) & (E & ~C)	True
(A <=> D) & ~I & (A <=> D) & ~I . What is ~I ?	(A <=> D) & ~I . What is ~I ?	(A <=> D) & ~I	True
~F . What is ~F ?	~F . What is ~F ?	~F	True
~B & ~B & (I ==> ~G) & (F & ~E) & (~E ^ I) & (~B ^ C) & (~E ^ I) & ~B & (~B ^ C) & (I ==> ~G) & (~B ^ C) & I & (I ==> ~G) & I . What is H ?	~B & (I ==> ~G) & (F & ~E) & (~E ^ I) & (~B ^ C) & I . What is H ?	~B & (I ==> ~G) & (F & ~E) & (~E ^ I) & (~B ^ C) & I	Contradictory
(H & ~D) & (H & ~D) & ~D & (B ==> ~C) & (~D ==> B) & ~D & ~D . What is C ?	(H & ~D) & ~D & (B ==> ~C) & (~D ==> B) . What is C ?	(H & ~D) & ~D & (B ==> ~C) & (~D ==> B)	False
(~A & ~B) & F & (~A & ~B) & (~B ==> J) & F & F & (~B ==> J) . What is ~A ?	(~A & ~B) & F & (~B ==> J) . What is ~A ?	(~A & ~B) & F & (~B ==> J)	True
J & (C & E) & (~D ==> H) & I & J & (~D ==> H) & I & I . What is E ?	J & (C & E) & (~D ==> H) & I . What is E ?	J & (C & E) & (~D ==> H) & I	True
~G & (~H | ~A) & ~G & ~G & (~A <=> C) . What is A ?	~G & (~H | ~A) & (~A <=> C) . What is A ?	~G & (~H | ~A) & (~A <=> C)	Unknown HELP!
~B . What is ~B ?	~B . What is ~B ?	~B	True
(G & ~H) & (G & ~H) & (G & ~H) . What is H ?	(G & ~H) . What is H ?	(G & ~H)	False
I & I & I . What is ~I ?	I . What is ~I ?	I	False
(H & D) & (H & D) & (E | H) & (E | H) & (E | H) . What is ~H ?	(H & D) & (E | H) . What is ~H ?	(H & D) & (E | H)	False
D & D & (~D ==> ~C) & (~C <=> ~I) & (~C <=> ~I) & (~D ==> ~C) . What is D ?	D & (~D ==> ~C) & (~C <=> ~I) . What is D ?	D & (~D ==> ~C) & (~C <=> ~I)	True
(E & C) & (G ==> E) & ~G & (C ^ I) & (C ^ I) & ~G & (C ^ I) . What is ~C ?	(E & C) & (G ==> E) & ~G & (C ^ I) . What is ~C ?	(E & C) & (G ==> E) & ~G & (C ^ I)	False
(C & J) & (F ==> H) & (F ==> H) & (H ^ C) & (C & J) & (H ^ C) & (C & J) . What is ~J ?	(C & J) & (F ==> H) & (H ^ C) . What is ~J ?	(C & J) & (F ==> H) & (H ^ C)	False
(~J & D) & B & (~J & D) & (~J & D) & B & B & (B & ~C) . What is ~D ?	(~J & D) & B & (B & ~C) . What is ~D ?	(~J & D) & B & (B & ~C)	False
(A <=> B) & (E & ~D) & (~D & A) & (~D & A) . What is ~D ?	(A <=> B) & (E & ~D) & (~D & A) . What is ~D ?	(A <=> B) & (E & ~D) & (~D & A)	True
