(~I <=> D) & (~H <=> F) & (~I <=> D) & (~I <=> D) & H & H & (E & ~H) & H & I & (~H <=> F) & (~H <=> F) & (E & ~H) . What is ~E ?	(~I <=> D) & (~H <=> F) & H & (E & ~H) & I . What is ~E ?	(~I <=> D) & (~H <=> F) & H & (E & ~H) & I	Contradictory
(~G ==> F) & (F <=> J) & (~G ==> F) & F & F . What is J ?	(~G ==> F) & (F <=> J) & F . What is J ?	(~G ==> F) & (F <=> J) & F	True
A . What is A ?	A . What is A ?	A	True
~A & ~A . What is A ?	~A . What is A ?	~A	False
D & (~E ^ ~G) & C & (~F <=> ~C) & (~E ^ ~G) . What is F ?	D & (~E ^ ~G) & C & (~F <=> ~C) . What is F ?	D & (~E ^ ~G) & C & (~F <=> ~C)	True
(F & ~A) & (F & ~A) & (F & ~A) . What is ~B ?	(F & ~A) . What is ~B ?	(F & ~A)	Unknown HELP!
D . What is C ?	D . What is C ?	D	Unknown HELP!
(~F & E) & (~F & E) & (~F & E) . What is F ?	(~F & E) . What is F ?	(~F & E)	False
J . What is J ?	J . What is J ?	J	True
~F & ~F & ~F . What is ~F ?	~F . What is ~F ?	~F	True
~B & (F & ~J) & ~B & (F & ~J) . What is ~J ?	~B & (F & ~J) . What is ~J ?	~B & (F & ~J)	True
I & (~I <=> ~G) & I & (~I <=> ~G) & (~I <=> ~G) & H & I & (~B & ~H) & (~B & ~H) & (~B & ~H) & H & (~G ==> D) & H & (~G ==> D) . What is ~I ?	I & (~I <=> ~G) & H & (~B & ~H) & (~G ==> D) . What is ~I ?	I & (~I <=> ~G) & H & (~B & ~H) & (~G ==> D)	Contradictory
(B ==> I) & (~J | ~F) & B & B & G & (~D & G) & G & (~D & G) & (~D & G) & (B ==> I) & (~F | B) & G & (~F | B) & (B ==> I) & B . What is ~B ?	(B ==> I) & (~J | ~F) & B & G & (~D & G) & (~F | B) . What is ~B ?	(B ==> I) & (~J | ~F) & B & G & (~D & G) & (~F | B)	False
(I ==> E) & ~D & (I ==> E) & (~G ^ A) & H & H & (~C | ~G) & (~G ^ A) & (A & D) & (~C | ~G) & H & (~C | ~G) . What is ~A ?	(I ==> E) & ~D & (~G ^ A) & H & (~C | ~G) & (A & D) . What is ~A ?	(I ==> E) & ~D & (~G ^ A) & H & (~C | ~G) & (A & D)	Contradictory
(~C ==> J) & D & D & (~D | ~G) & E & (~C ==> J) & (~D | ~G) & (~C ==> J) & (~D | ~G) . What is ~D ?	(~C ==> J) & D & (~D | ~G) & E . What is ~D ?	(~C ==> J) & D & (~D | ~G) & E	False
(~H | ~F) & ~I & ~I & (~H | ~F) & (~I & ~H) . What is ~I ?	(~H | ~F) & ~I & (~I & ~H) . What is ~I ?	(~H | ~F) & ~I & (~I & ~H)	True
(A ^ E) & (~J & ~F) & (~J & ~F) & ~E & (~J & ~F) & (~B ==> ~D) & ~E & (A ^ E) & ~B & (A ^ E) & (E ^ ~J) & ~E & (E ^ ~J) & ~B . What is ~A ?	(A ^ E) & (~J & ~F) & ~E & (~B ==> ~D) & ~B & (E ^ ~J) . What is ~A ?	(A ^ E) & (~J & ~F) & ~E & (~B ==> ~D) & ~B & (E ^ ~J)	False
(~G <=> C) & (~G <=> C) & (C ==> E) & H & H . What is ~H ?	(~G <=> C) & (C ==> E) & H . What is ~H ?	(~G <=> C) & (C ==> E) & H	False
~H . What is ~H ?	~H . What is ~H ?	~H	True
A & (~J | ~F) & (~J | ~F) & (~H <=> ~J) & A & A & (~H <=> ~J) & (~H <=> ~J) . What is A ?	A & (~J | ~F) & (~H <=> ~J) . What is A ?	A & (~J | ~F) & (~H <=> ~J)	True
(~H ==> D) & (B | ~H) & (~H ==> D) & (D & ~G) & (D & ~G) & (D & ~G) . What is G ?	(~H ==> D) & (B | ~H) & (D & ~G) . What is G ?	(~H ==> D) & (B | ~H) & (D & ~G)	False
(D & E) & (D & E) . What is D ?	(D & E) . What is D ?	(D & E)	True
D & D & D . What is ~I ?	D . What is ~I ?	D	Unknown HELP!
(~G ==> I) & (C ^ ~G) & (~G ==> I) & (~G ==> I) & (C ^ ~G) . What is ~C ?	(~G ==> I) & (C ^ ~G) . What is ~C ?	(~G ==> I) & (C ^ ~G)	Unknown HELP!
~G & ~G & (J <=> ~I) & (J <=> ~I) & (J <=> ~I) . What is G ?	~G & (J <=> ~I) . What is G ?	~G & (J <=> ~I)	False
 . What is J ?	 . What is J ?		Unknown HELP!
~D & ~D . What is D ?	~D . What is D ?	~D	False
(F ==> I) & ~C & (F ==> I) & ~C & ~C & (~G & E) & F & F & (F ==> I) & F . What is G ?	(F ==> I) & ~C & (~G & E) & F . What is G ?	(F ==> I) & ~C & (~G & E) & F	False
(F ^ ~G) & (F ^ ~G) & ~F & (~G ==> ~J) & ~F & ~F & (~G ==> ~J) & (F ^ ~G) . What is ~J ?	(F ^ ~G) & ~F & (~G ==> ~J) . What is ~J ?	(F ^ ~G) & ~F & (~G ==> ~J)	True
I & I & (A <=> ~I) & (A <=> ~I) & (A <=> ~I) . What is A ?	I & (A <=> ~I) . What is A ?	I & (A <=> ~I)	False
(J & ~B) & (~F ==> ~I) & ~A & (A & ~F) & ~H & (A & ~F) & (~F ==> ~I) & (A & ~F) . What is I ?	(J & ~B) & (~F ==> ~I) & ~A & (A & ~F) & ~H . What is I ?	(J & ~B) & (~F ==> ~I) & ~A & (A & ~F) & ~H	Contradictory
(~D <=> ~H) & (F | ~D) & (F | ~D) & H & (F | ~D) & H & H & (~D <=> ~H) & (~I ==> F) & (~I ==> F) & (~I ==> F) . What is ~F ?	(~D <=> ~H) & (F | ~D) & H & (~I ==> F) . What is ~F ?	(~D <=> ~H) & (F | ~D) & H & (~I ==> F)	False
~F & (I ^ F) & (I ^ F) & (I ^ F) . What is F ?	~F & (I ^ F) . What is F ?	~F & (I ^ F)	False
(F ==> ~G) & (~I & F) & (F ==> ~G) & E & (~I & F) . What is ~G ?	(F ==> ~G) & (~I & F) & E . What is ~G ?	(F ==> ~G) & (~I & F) & E	True
(~G ^ ~J) & (~F ^ ~E) & (~G ^ ~J) & (~J ==> ~B) & (~J ==> ~B) & (~J ==> ~B) & ~B & F & (~F ^ ~E) & F & (~F ^ ~E) & F . What is B ?	(~G ^ ~J) & (~F ^ ~E) & (~J ==> ~B) & ~B & F . What is B ?	(~G ^ ~J) & (~F ^ ~E) & (~J ==> ~B) & ~B & F	False
(~A & B) & (J & ~A) . What is J ?	(~A & B) & (J & ~A) . What is J ?	(~A & B) & (J & ~A)	True
(~D ^ ~I) & (~D ^ ~I) & (~I & ~E) & (~I & ~E) & (~I & ~E) . What is D ?	(~D ^ ~I) & (~I & ~E) . What is D ?	(~D ^ ~I) & (~I & ~E)	True
J & (C ^ ~J) & (G ==> C) . What is ~C ?	J & (C ^ ~J) & (G ==> C) . What is ~C ?	J & (C ^ ~J) & (G ==> C)	False
(G | D) & (J <=> G) & ~G & E & (I <=> F) & (I <=> F) & ~G & (J <=> G) & (J <=> G) . What is ~G ?	(G | D) & (J <=> G) & ~G & E & (I <=> F) . What is ~G ?	(G | D) & (J <=> G) & ~G & E & (I <=> F)	True
J & (~G & ~D) & (~D & ~F) & (~G & ~D) & (~D & ~F) & (~G & ~D) & (~J ==> ~H) & (~F ==> E) & (~F ==> E) . What is ~E ?	J & (~G & ~D) & (~D & ~F) & (~J ==> ~H) & (~F ==> E) . What is ~E ?	J & (~G & ~D) & (~D & ~F) & (~J ==> ~H) & (~F ==> E)	False
(~I | J) & (F | ~H) & D & D & (~C & ~I) & D & (~C & ~I) & (F | ~H) & (F | ~H) . What is ~C ?	(~I | J) & (F | ~H) & D & (~C & ~I) . What is ~C ?	(~I | J) & (F | ~H) & D & (~C & ~I)	True
~B & ~B & ~B . What is ~B ?	~B . What is ~B ?	~B	True
(E <=> G) & C & (E <=> G) & ~G & (E <=> G) & ~G & (F ^ C) & (F ^ C) & (F ^ C) . What is ~G ?	(E <=> G) & C & ~G & (F ^ C) . What is ~G ?	(E <=> G) & C & ~G & (F ^ C)	True
(~A | C) & (~H <=> B) & (~H <=> B) & (F <=> ~A) & H & (F <=> ~A) & (~H <=> B) & (F <=> ~A) & H . What is ~C ?	(~A | C) & (~H <=> B) & (F <=> ~A) & H . What is ~C ?	(~A | C) & (~H <=> B) & (F <=> ~A) & H	Unknown HELP!
(A ^ I) & (A ^ I) & ~I . What is ~I ?	(A ^ I) & ~I . What is ~I ?	(A ^ I) & ~I	True
(B | ~E) & C & C . What is C ?	(B | ~E) & C . What is C ?	(B | ~E) & C	True
~B & ~B & (C ^ ~B) & (~F | J) & (J ==> C) & ~B & (~F | J) & (~F | J) . What is ~F ?	~B & (C ^ ~B) & (~F | J) & (J ==> C) . What is ~F ?	~B & (C ^ ~B) & (~F | J) & (J ==> C)	True
F & (A ==> ~I) & (~J <=> ~F) & F & (A ==> ~I) & F & (A ==> ~I) & ~H . What is ~J ?	F & (A ==> ~I) & (~J <=> ~F) & ~H . What is ~J ?	F & (A ==> ~I) & (~J <=> ~F) & ~H	False
(~E <=> B) & (B <=> H) & (~J & ~E) & (~J & ~E) . What is H ?	(~E <=> B) & (B <=> H) & (~J & ~E) . What is H ?	(~E <=> B) & (B <=> H) & (~J & ~E)	True
(D <=> E) & (D <=> E) & A & (J <=> F) & (D <=> E) & H & (C | J) & (C | J) & H & H . What is H ?	(D <=> E) & A & (J <=> F) & H & (C | J) . What is H ?	(D <=> E) & A & (J <=> F) & H & (C | J)	True
~E & ~E . What is ~E ?	~E . What is ~E ?	~E	True
(~E & D) & (~F & I) & (D ==> ~A) & ~I & ~I & ~I & (~F & I) & (D ==> ~A) . What is ~B ?	(~E & D) & (~F & I) & (D ==> ~A) & ~I . What is ~B ?	(~E & D) & (~F & I) & (D ==> ~A) & ~I	Contradictory
(~F ^ C) & (B & ~F) & (B & ~F) & (~F ^ C) & (~F ^ C) . What is C ?	(~F ^ C) & (B & ~F) . What is C ?	(~F ^ C) & (B & ~F)	False
~J . What is ~J ?	~J . What is ~J ?	~J	True
(~F & ~G) & (D | E) & (E | ~F) & (E | ~F) & (E | ~F) & (D | E) . What is G ?	(~F & ~G) & (D | E) & (E | ~F) . What is G ?	(~F & ~G) & (D | E) & (E | ~F)	False
~F & ~F & ~F . What is ~F ?	~F . What is ~F ?	~F	True
(~H ==> ~G) & (~G & F) & (~G & F) & (~G & F) . What is G ?	(~H ==> ~G) & (~G & F) . What is G ?	(~H ==> ~G) & (~G & F)	False
~F & ~F . What is ~F ?	~F . What is ~F ?	~F	True
~G & (~G ==> A) & (~G ==> A) & (~G ==> A) & (D ==> ~G) & (D ==> ~G) . What is A ?	~G & (~G ==> A) & (D ==> ~G) . What is A ?	~G & (~G ==> A) & (D ==> ~G)	True
~D & ~D . What is ~D ?	~D . What is ~D ?	~D	True
(~B ^ ~I) & F & (F & ~B) & (~B ^ ~I) & (~B ^ ~I) & (F & ~B) & (F & ~B) . What is B ?	(~B ^ ~I) & F & (F & ~B) . What is B ?	(~B ^ ~I) & F & (F & ~B)	False
(~I ==> B) & (B ^ ~H) & H & (B ^ ~H) & (~H ==> ~A) & (~H ==> ~A) & H & (~H ==> ~A) . What is B ?	(~I ==> B) & (B ^ ~H) & H & (~H ==> ~A) . What is B ?	(~I ==> B) & (B ^ ~H) & H & (~H ==> ~A)	True
(E & ~J) . What is E ?	(E & ~J) . What is E ?	(E & ~J)	True
~F & ~F & ~F . What is ~F ?	~F . What is ~F ?	~F	True
D . What is D ?	D . What is D ?	D	True
(J ^ ~I) & (~E & ~F) & (~I <=> ~G) & (J ^ ~I) & H & E & (~H ^ J) & H & E & (J ^ ~I) & (~H ^ J) . What is ~A ?	(J ^ ~I) & (~E & ~F) & (~I <=> ~G) & H & E & (~H ^ J) . What is ~A ?	(J ^ ~I) & (~E & ~F) & (~I <=> ~G) & H & E & (~H ^ J)	Contradictory
(~E | F) & (~E | F) & D & D . What is ~D ?	(~E | F) & D . What is ~D ?	(~E | F) & D	False
(~F ^ ~J) & (~D ==> E) & ~J & (~F ^ ~J) & (E | ~F) & (~F ^ ~J) . What is ~E ?	(~F ^ ~J) & (~D ==> E) & ~J & (E | ~F) . What is ~E ?	(~F ^ ~J) & (~D ==> E) & ~J & (E | ~F)	False
(I <=> G) & (I <=> G) & (~H & I) & F & F & (I <=> G) & (~H & I) . What is F ?	(I <=> G) & (~H & I) & F . What is F ?	(I <=> G) & (~H & I) & F	True
J . What is ~J ?	J . What is ~J ?	J	False
I & (~C & A) & (~C & A) & (A | ~I) & (~C & A) . What is A ?	I & (~C & A) & (A | ~I) . What is A ?	I & (~C & A) & (A | ~I)	True
~E & ~E & ~E . What is ~E ?	~E . What is ~E ?	~E	True
(~C | ~G) & C & (A & ~B) & (A & ~B) & C & ~J & ~J & C . What is ~A ?	(~C | ~G) & C & (A & ~B) & ~J . What is ~A ?	(~C | ~G) & C & (A & ~B) & ~J	False
(D <=> ~H) & H & (D <=> ~H) & H . What is D ?	(D <=> ~H) & H . What is D ?	(D <=> ~H) & H	False
~F & ~F & ~F . What is ~F ?	~F . What is ~F ?	~F	True
(~J & G) & (G & ~B) & (~J & G) & F & F & F . What is ~J ?	(~J & G) & (G & ~B) & F . What is ~J ?	(~J & G) & (G & ~B) & F	True
G & G . What is G ?	G . What is G ?	G	True
~C & (D ^ ~C) & ~C & (H ^ G) & (E & H) & (D ^ ~C) & (H ^ G) & (D ^ ~C) & ~C & (H ^ G) . What is ~H ?	~C & (D ^ ~C) & (H ^ G) & (E & H) . What is ~H ?	~C & (D ^ ~C) & (H ^ G) & (E & H)	False
H & (~J & I) & H & (A | H) & (A | H) & (~J & I) & (~J & I) & J & (H ^ ~B) & (H ^ ~B) . What is A ?	H & (~J & I) & (A | H) & J & (H ^ ~B) . What is A ?	H & (~J & I) & (A | H) & J & (H ^ ~B)	Contradictory
(J & I) . What is J ?	(J & I) . What is J ?	(J & I)	True
~H . What is ~H ?	~H . What is ~H ?	~H	True
~J & ~J & ~J & (J | B) & (B & ~F) & (J | B) & (J | B) . What is B ?	~J & (J | B) & (B & ~F) . What is B ?	~J & (J | B) & (B & ~F)	True
~H & (B | ~C) & (~I ==> A) & I & ~H & (H & B) & (~I ==> A) & (B | ~C) . What is ~C ?	~H & (B | ~C) & (~I ==> A) & I & (H & B) . What is ~C ?	~H & (B | ~C) & (~I ==> A) & I & (H & B)	Contradictory
(A ==> ~J) & (C <=> ~H) & (B & ~F) & ~C & ~C & (B & ~F) & (~J <=> B) & (C <=> ~H) & (A ==> ~J) . What is B ?	(A ==> ~J) & (C <=> ~H) & (B & ~F) & ~C & (~J <=> B) . What is B ?	(A ==> ~J) & (C <=> ~H) & (B & ~F) & ~C & (~J <=> B)	True
F & ~I & ~I & (D & ~I) & (G ^ F) & ~I & F & F . What is ~I ?	F & ~I & (D & ~I) & (G ^ F) . What is ~I ?	F & ~I & (D & ~I) & (G ^ F)	True
(~D | ~A) & (~D | ~A) & ~D & ~D & ~E & (~F ^ ~I) . What is ~E ?	(~D | ~A) & ~D & ~E & (~F ^ ~I) . What is ~E ?	(~D | ~A) & ~D & ~E & (~F ^ ~I)	True
(J & ~C) & (J & ~C) & (D ==> ~F) & ~D & (D ==> ~F) & (~G ^ J) & ~D . What is ~G ?	(J & ~C) & (D ==> ~F) & ~D & (~G ^ J) . What is ~G ?	(J & ~C) & (D ==> ~F) & ~D & (~G ^ J)	False
D . What is D ?	D . What is D ?	D	True
~D & ~D & ~D . What is ~D ?	~D . What is ~D ?	~D	True
(~A <=> ~G) & I & (~G ==> ~I) & (~G ==> ~I) & I & (~A <=> ~G) & (~G ==> ~I) . What is ~A ?	(~A <=> ~G) & I & (~G ==> ~I) . What is ~A ?	(~A <=> ~G) & I & (~G ==> ~I)	False
C & C & C . What is I ?	C . What is I ?	C	Unknown HELP!
~F & ~G & (~H ==> ~E) & (~F ==> ~I) . What is ~F ?	~F & ~G & (~H ==> ~E) & (~F ==> ~I) . What is ~F ?	~F & ~G & (~H ==> ~E) & (~F ==> ~I)	True
H . What is H ?	H . What is H ?	H	True
J & (~J & ~A) & J & J & (~J & ~A) . What is ~J ?	J & (~J & ~A) . What is ~J ?	J & (~J & ~A)	Contradictory
(~J | D) & E & (A ==> G) & (A ==> G) & (G & ~H) & (G & ~H) . What is G ?	(~J | D) & E & (A ==> G) & (G & ~H) . What is G ?	(~J | D) & E & (A ==> G) & (G & ~H)	True
(~J & E) & (~J & E) & C & (F ^ ~H) & C & (F ^ ~H) & J & J . What is E ?	(~J & E) & C & (F ^ ~H) & J . What is E ?	(~J & E) & C & (F ^ ~H) & J	Contradictory
(E & F) & (F <=> ~J) & (E & F) & E & E & E . What is ~E ?	(E & F) & (F <=> ~J) & E . What is ~E ?	(E & F) & (F <=> ~J) & E	False
(~G & H) . What is ~H ?	(~G & H) . What is ~H ?	(~G & H)	False
(~F & ~G) & (~F & ~G) & (~A ^ ~F) & (~A ^ ~F) & (~F & ~G) & (~A ^ ~F) . What is F ?	(~F & ~G) & (~A ^ ~F) . What is F ?	(~F & ~G) & (~A ^ ~F)	False
~D & ~D . What is ~D ?	~D . What is ~D ?	~D	True
(H & B) & B & (G <=> ~I) & B & (G <=> ~I) & (G <=> ~I) & (B <=> G) & (B <=> G) & (B <=> G) & (H & B) & (H & B) . What is B ?	(H & B) & B & (G <=> ~I) & (B <=> G) . What is B ?	(H & B) & B & (G <=> ~I) & (B <=> G)	True
(~I | ~A) & I & I . What is I ?	(~I | ~A) & I . What is I ?	(~I | ~A) & I	True
I & (~F ^ ~A) & (H ==> ~F) & (~F ^ ~A) & (~A & C) & (E | ~I) & (~F ^ ~A) & (H ==> ~F) . What is ~C ?	I & (~F ^ ~A) & (H ==> ~F) & (~A & C) & (E | ~I) . What is ~C ?	I & (~F ^ ~A) & (H ==> ~F) & (~A & C) & (E | ~I)	False
(~D & ~A) & (C | ~D) & H & (~D & ~A) & (C | ~D) & (~D & ~A) & (C | ~D) & (~A & H) . What is D ?	(~D & ~A) & (C | ~D) & H & (~A & H) . What is D ?	(~D & ~A) & (C | ~D) & H & (~A & H)	False
(B ==> ~H) & (~H <=> C) & (~H <=> C) . What is G ?	(B ==> ~H) & (~H <=> C) . What is G ?	(B ==> ~H) & (~H <=> C)	Unknown HELP!
(~C ^ D) & (~C ^ D) & (A & ~C) & (~C ^ D) & (D ^ ~E) & (D ^ ~E) . What is E ?	(~C ^ D) & (A & ~C) & (D ^ ~E) . What is E ?	(~C ^ D) & (A & ~C) & (D ^ ~E)	False
(~B ^ I) & ~J & (~D <=> A) & (E ==> ~D) & (~B ^ I) & (E ==> ~D) & (A <=> ~G) & (A <=> ~G) & B . What is ~J ?	(~B ^ I) & ~J & (~D <=> A) & (E ==> ~D) & (A <=> ~G) & B . What is ~J ?	(~B ^ I) & ~J & (~D <=> A) & (E ==> ~D) & (A <=> ~G) & B	True
(E ^ ~I) & (E ^ ~I) & (~I & ~B) & (~J | E) & (~I & ~B) & (~J | E) & (~I & ~B) . What is E ?	(E ^ ~I) & (~I & ~B) & (~J | E) . What is E ?	(E ^ ~I) & (~I & ~B) & (~J | E)	False
(~C | ~G) & (~D | B) & (A & ~H) & (~G & ~D) & ~H & (~G & ~D) & B & (~C | ~G) & (~C | ~G) & B & B . What is ~B ?	(~C | ~G) & (~D | B) & (A & ~H) & (~G & ~D) & ~H & B . What is ~B ?	(~C | ~G) & (~D | B) & (A & ~H) & (~G & ~D) & ~H & B	False
(~D <=> ~B) & (~I & ~D) & (~D <=> ~B) & (~D <=> ~B) & B & (~E | ~I) & (~E | ~I) & (~E | ~I) . What is ~D ?	(~D <=> ~B) & (~I & ~D) & B & (~E | ~I) . What is ~D ?	(~D <=> ~B) & (~I & ~D) & B & (~E | ~I)	Contradictory
(I <=> ~C) & (~D <=> ~J) & ~E & ~I & ~I & (~D <=> ~J) & (~D <=> ~J) . What is I ?	(I <=> ~C) & (~D <=> ~J) & ~E & ~I . What is I ?	(I <=> ~C) & (~D <=> ~J) & ~E & ~I	False
I & I . What is I ?	I . What is I ?	I	True
(C & ~I) & (C & ~I) & (~E | H) & (~J ^ A) & (~I <=> ~J) & (~I <=> ~J) & ~E & (~I <=> ~J) . What is J ?	(C & ~I) & (~E | H) & (~J ^ A) & (~I <=> ~J) & ~E . What is J ?	(C & ~I) & (~E | H) & (~J ^ A) & (~I <=> ~J) & ~E	False
~E & ~E . What is ~E ?	~E . What is ~E ?	~E	True
(H <=> J) & (H <=> J) & (I ^ H) & (~B & I) & (~B & I) & (~B & I) . What is ~H ?	(H <=> J) & (I ^ H) & (~B & I) . What is ~H ?	(H <=> J) & (I ^ H) & (~B & I)	True
H & H . What is ~F ?	H . What is ~F ?	H	Unknown HELP!
(~F & E) & ~E & (A ==> ~I) & (~F & E) & (~F & E) & (A ==> ~I) & (A ==> ~I) . What is ~H ?	(~F & E) & ~E & (A ==> ~I) . What is ~H ?	(~F & E) & ~E & (A ==> ~I)	Contradictory
(~E | ~I) & G & (~E | ~I) & (~I & C) & G & (~F | ~B) & (~F | ~B) & (~E | ~I) & (~F | ~B) & (~I & C) & G . What is I ?	(~E | ~I) & G & (~I & C) & (~F | ~B) . What is I ?	(~E | ~I) & G & (~I & C) & (~F | ~B)	False
(~H ==> B) & (~H ==> B) & (C & ~H) & E & (~A ==> E) & E & (C & ~H) & (~A ==> E) & (C & ~H) & (~A ==> E) . What is ~H ?	(~H ==> B) & (C & ~H) & E & (~A ==> E) . What is ~H ?	(~H ==> B) & (C & ~H) & E & (~A ==> E)	True
~J & ~J . What is J ?	~J . What is J ?	~J	False
~C . What is ~C ?	~C . What is ~C ?	~C	True
~B & (~C & ~I) & (~G ^ ~F) & (~G ^ ~F) & F & F & F . What is ~I ?	~B & (~C & ~I) & (~G ^ ~F) & F . What is ~I ?	~B & (~C & ~I) & (~G ^ ~F) & F	True
J & J & J . What is J ?	J . What is J ?	J	True
(E <=> ~J) & B & ~E & (E <=> ~J) & (~C | F) & (~C | F) & (E <=> ~J) & (~C | F) . What is B ?	(E <=> ~J) & B & ~E & (~C | F) . What is B ?	(E <=> ~J) & B & ~E & (~C | F)	True
(~A ==> ~I) & ~A & (~A ==> ~I) & (~H ==> ~F) & (~H ==> ~F) & (~H ==> ~F) & (~A ==> ~I) & (~F ==> ~A) & (~F ==> ~A) & (~F ==> ~A) . What is A ?	(~A ==> ~I) & ~A & (~H ==> ~F) & (~F ==> ~A) . What is A ?	(~A ==> ~I) & ~A & (~H ==> ~F) & (~F ==> ~A)	False
H & H . What is ~H ?	H . What is ~H ?	H	False
(~C ==> ~H) & (G ==> ~C) & (~C ==> ~H) & (~H ^ ~D) & (G ==> ~C) & (G ==> ~C) & G & G . What is ~G ?	(~C ==> ~H) & (G ==> ~C) & (~H ^ ~D) & G . What is ~G ?	(~C ==> ~H) & (G ==> ~C) & (~H ^ ~D) & G	False
(H <=> ~J) . What is D ?	(H <=> ~J) . What is D ?	(H <=> ~J)	Unknown HELP!
~C & (A ==> J) & (A ==> J) & (A ==> J) . What is C ?	~C & (A ==> J) . What is C ?	~C & (A ==> J)	False
(C ==> G) & (H & C) & ~J & C & ~J & ~J & C & (D | J) & (D | J) . What is H ?	(C ==> G) & (H & C) & ~J & C & (D | J) . What is H ?	(C ==> G) & (H & C) & ~J & C & (D | J)	True
(~I | ~J) & A & A & (~J & ~H) & (~J & ~H) & (~H ^ D) & (~H ^ D) & (C ==> A) & (C ==> A) & (C ==> A) . What is ~H ?	(~I | ~J) & A & (~J & ~H) & (~H ^ D) & (C ==> A) . What is ~H ?	(~I | ~J) & A & (~J & ~H) & (~H ^ D) & (C ==> A)	True
H & (~C <=> ~D) & (~I & ~B) & (~I & ~B) & (~D ==> ~I) & (G <=> ~H) & (G <=> ~H) & H & (~C <=> ~D) & (G <=> ~H) & E & E & H & E . What is E ?	H & (~C <=> ~D) & (~I & ~B) & (~D ==> ~I) & (G <=> ~H) & E . What is E ?	H & (~C <=> ~D) & (~I & ~B) & (~D ==> ~I) & (G <=> ~H) & E	True
(D & ~A) & (D & ~A) & ~F & ~F & (D & ~A) . What is A ?	(D & ~A) & ~F . What is A ?	(D & ~A) & ~F	False
(G | ~J) & (~I ==> ~D) & ~I & ~I & (G | ~J) & (~I ==> ~D) & (G | ~J) & (~D & G) & ~I . What is D ?	(G | ~J) & (~I ==> ~D) & ~I & (~D & G) . What is D ?	(G | ~J) & (~I ==> ~D) & ~I & (~D & G)	False
~B & ~B & (~F <=> B) & (H | ~F) & (H | ~F) . What is ~B ?	~B & (~F <=> B) & (H | ~F) . What is ~B ?	~B & (~F <=> B) & (H | ~F)	True
(G <=> ~D) & ~B & ~B & (~B <=> G) & ~B & (~B <=> G) & (~D ==> C) & (~B <=> G) . What is G ?	(G <=> ~D) & ~B & (~B <=> G) & (~D ==> C) . What is G ?	(G <=> ~D) & ~B & (~B <=> G) & (~D ==> C)	True
~C & ~C & ~C . What is ~C ?	~C . What is ~C ?	~C	True
J & J & (A <=> G) & H & J & (~H ==> ~D) & (F | ~H) & (F | ~H) . What is F ?	J & (A <=> G) & H & (~H ==> ~D) & (F | ~H) . What is F ?	J & (A <=> G) & H & (~H ==> ~D) & (F | ~H)	True
~B . What is B ?	~B . What is B ?	~B	False
(~E & ~I) & H & (~E & ~I) & (~E & ~I) . What is ~E ?	(~E & ~I) & H . What is ~E ?	(~E & ~I) & H	True
~H & ~H & ~H . What is ~H ?	~H . What is ~H ?	~H	True
(J & ~C) & (~D <=> J) & (J & ~C) & H & H & (~D <=> J) & (~D <=> J) . What is H ?	(J & ~C) & (~D <=> J) & H . What is H ?	(J & ~C) & (~D <=> J) & H	True
B & (B & ~C) & (A | B) & (~C <=> ~J) & (~C <=> ~J) & ~E & B & (A | B) & (A | B) & (E | ~G) & (E | ~G) & (B & ~C) & B . What is B ?	B & (B & ~C) & (A | B) & (~C <=> ~J) & ~E & (E | ~G) . What is B ?	B & (B & ~C) & (A | B) & (~C <=> ~J) & ~E & (E | ~G)	True
~J . What is ~J ?	~J . What is ~J ?	~J	True
~G & ~G & ~G . What is ~G ?	~G . What is ~G ?	~G	True
(J & ~G) & (A <=> J) & (A <=> J) & ~H & (A <=> J) & (J & ~G) & (J & ~G) . What is A ?	(J & ~G) & (A <=> J) & ~H . What is A ?	(J & ~G) & (A <=> J) & ~H	True
B & (C ^ ~F) & (C ^ ~F) & B & ~E & ~E & (~I & H) & ~E . What is ~B ?	B & (C ^ ~F) & ~E & (~I & H) . What is ~B ?	B & (C ^ ~F) & ~E & (~I & H)	False
(B <=> ~G) & (~F | ~A) & (~A & B) & ~G & (~A & B) & ~G & (~A & B) . What is ~A ?	(B <=> ~G) & (~F | ~A) & (~A & B) & ~G . What is ~A ?	(B <=> ~G) & (~F | ~A) & (~A & B) & ~G	True
G & (~A <=> H) & G & (B <=> ~C) & A & (I ==> ~G) & (~C | ~A) & (~C | ~A) & (I ==> ~G) & (B <=> ~C) & (I ==> ~G) . What is H ?	G & (~A <=> H) & (B <=> ~C) & A & (I ==> ~G) & (~C | ~A) . What is H ?	G & (~A <=> H) & (B <=> ~C) & A & (I ==> ~G) & (~C | ~A)	False
~G & ~G & (~E <=> ~G) & ~G & (A ==> ~E) . What is E ?	~G & (~E <=> ~G) & (A ==> ~E) . What is E ?	~G & (~E <=> ~G) & (A ==> ~E)	False
(D ==> F) & (~A & E) & (D ==> F) & D & D & (D ==> F) . What is A ?	(D ==> F) & (~A & E) & D . What is A ?	(D ==> F) & (~A & E) & D	False
(~G ==> J) & ~I & (I | ~G) . What is I ?	(~G ==> J) & ~I & (I | ~G) . What is I ?	(~G ==> J) & ~I & (I | ~G)	False
